"Site","Tag","Species","Family","WSG","HOM","DBH","Ht","Notes","ID","b1.hom","b1.iso","range.hom","range.iso","iso"
"AMA","0K0394","Faramea glandulosa","Rubiaceae",0.587889,2.39,21.5,16.03,"with 0K0395","AMA-0K0394",0.0586306182821855,0.0586306182821855,3.11939344337782,3.11939344337782,0.942084678558393
"AMA","0D0476","Meliosma sp.","Sabiaceae",0.495942955223881,4.8,53,34.63,"","AMA-0D0476",0.112945548373632,0.0297915557202298,0.21049653547722,1.93323122296189,0.952768529448318
"AMA","0J0498","Banara nitida","Salicaceae",0.6015,3.53,35.9,21.8,"","AMA-0J0498",0.0549119097666271,0.0536755790118557,2.90142074578479,3.54983229486932,0.920552929784169
"AMA","0K0378","Pouteria williamii","Sapotaceae",0.714372,1.7,22.5,21.43,"","AMA-0K0378",0.109849577582035,0.109849577582035,2.2635524178979,2.2635524178979,0.967129834297492
"AMA","0N0277","Micropholis sp.1","Sapotaceae",0.705353925143954,3.63,44.2,28.6,"","AMA-0N0277",0.00496135026946301,0.0260978986114033,3.01004182292464,3.55022236476691,0.956603979984393
"AMA","0I0276","Pouteria cladantha","Sapotaceae",0.942333,1.69,31.1,24.2,"","AMA-0I0276",0.0640456600836012,0.0640456600836012,2.9060367623547,2.9060367623547,0.931997819633581
"AMA","0Y0252","Pouteria guianensis","Sapotaceae",0.9295,3.8,53.4,25.83,"","AMA-0Y0252",0.0602023551079384,0.0371395799552275,0.859963286743256,2.25997491157651,0.91868422231282
"AMA","0D0392","Pouteria baehniana","Sapotaceae",0.714372,1.6,51.2,24.43,"","AMA-0D0392",0.0692821112740453,0.0692821112740453,3.33106704130912,3.33106704130912,0.946425009672734
"AMA","0Q0007","Unidentified sp.5","Unknown",0.609402410462777,4.14,53.5,31.8,"","AMA-0Q0007",-0.0584152400636225,-0.0266891593216515,1.504966489,2.90659450165151,0.961138441395356
"AMA","0M0515","Pourouma minor","Urticaceae",0.436,3.48,85.5,28.03,"","AMA-0M0515",0.0242362546299402,0.0242362546299402,3.33451109381313,3.33451109381313,0.954529593474619
"AMA","0H0401","Cecropia sciadophylla","Urticaceae",0.386857,1.65,18.939,26.43,"with 0H0400","AMA-0H0401",0.108889254640875,0.108889254640875,3.32936716973422,3.32936716973422,0.970162085716084
"AMA","0E0431","Pourouma minor","Urticaceae",0.436,3.9,38.2,24,"","AMA-0E0431",-0.00403946022500589,0.00643420450608482,2.36501744593074,3.55023459582459,0.98006801074339
"BCI","4934","alchco","Euphorbiaceae",0.301,3.200000048,80.9,32.3,"","BCI-4934",0.0176132124629235,0.0584018887704422,0.860021900308885,2.47857920719661,0.738164075835436
"BCI","7680","apeime","Malvaceae",0.278333,3.799999952,73,30.1,"","BCI-7680",-0.00447678562308706,0.0103579602264856,1.0750232638318,2.90246561058905,0.864946214320329
"BCI","2121","aspicr","Apocynaceae",0.753333,6,77,36.1,"","BCI-2121",0.0253822462577985,0.0357287280843135,1.29001094028938,1.72001133889977,0.943860125083807
"BCI","6876","beilpe","Lauraceae",0.507,3,71,28.1,"","BCI-6876",0.0341853362285651,0.0323348499392111,2.6908934322043,3.1175987157379,0.967090733476465
"BCI","4413","beilpe","Lauraceae",0.507,3.200000048,59.6,25.9,"","BCI-4413",0.0389135361828286,0.0389135361828286,2.26057839523732,2.26057839523732,0.97870308535458
"BCI","1497","brosal","Moraceae",0.60775,3.900000095,72,33.9,"","BCI-1497",0.0175439409653471,0.0175439409653471,1.50495012465185,1.50495012465185,0.91637629722107
"BCI","1730","brosal","Moraceae",0.60775,6.5,109,43.3,"","BCI-1730",0.00443399651471851,0.00644233383053879,1.50492732363465,1.71989045072366,0.975351608828286
"BCI","1274","brosal","Moraceae",0.60775,5.400000095,72.5,36.1,"","BCI-1274",0.0271101106630743,0.0383226912616145,1.07501814493206,1.93493107881828,0.968530427954316
"BCI","3628","cavapl","Malvaceae",0.36,3.299999952,217.2,42.9,"","BCI-3628",0.0258644131176039,0.0258644131176039,2.2610608072931,2.2610608072931,0.965996402609321
"BCI","3008","cavapl","Malvaceae",0.36,3,169.3,36.1,"","BCI-3008",0.0260638385817564,0.0260638385817564,2.68767490556559,2.68767490556559,0.969243138058154
"BCI","259","chr2ar","Sapotaceae",0.764833,3.2,42.6,27.8,"","BCI-259",0.092689926711835,0.0426103797787755,0.645053381708657,2.47477626823643,0.93575692379732
"BCI","4898","chr2ca","Sapotaceae",0.655,6.400000095,74.7,27.3,"","BCI-4898",0.032817948321691,0.0471838126539445,0.645053814896907,1.93503753385145,0.831324466825435
"BCI","7715","diptpa","Fabaceae-papilionoideae",0.848333,4.849999905,121.2,35.9,"","BCI-7715",-0.00465458555431877,-0.0604169558651578,0.645066026622026,1.93501537042435,0.850113721086398
"BCI","7221","diptpa","Fabaceae-papilionoideae",0.848333,5.300000191,69.5,36.1,"","BCI-7221",-0.0193711888410149,0.0169549988719801,0.215005357921545,1.72000798905994,0.962340534910421
"BCI","3275-1","drypst","Putranjivaceae",0.675,3.950000048,64.3,25.7,"","BCI-3275-1",0.0202272377067045,0.0407615148256397,0.859977820508167,1.60729696465948,0.975632590069959
"BCI","1878","guapst","Nyctaginaceae",0.5994,4.449999809,60.1,28.7,"","BCI-1878",0.0221643249088755,0.0226620439383836,1.50493509730044,1.71985679818428,0.966077268226202
"BCI","2500","guapst","Nyctaginaceae",0.5994,3.200000048,77.2,33.9,"","BCI-2500",0.0493016154102815,0.0493016154102815,2.04131780419797,2.04131780419797,0.898624407127029
"BCI","3525","huracr","Euphorbiaceae",0.367333,3,74.7,25.5,"stem forks at top","BCI-3525",0.0228051560629758,0.0228051560629758,2.90506666365741,2.90506666365741,0.96016205755305
"BCI","3765","huracr","Euphorbiaceae",0.367333,5.550000191,160,35.7,"","BCI-3765",0.0117061217553595,0.0177113120080996,1.50497782186425,3.11949535244783,0.952679745979646
"BCI","2208","ocotwh","Lauraceae",0.525773,3.799999952,84.3,24.1,"","BCI-2208",0.029932300284259,0.029932300284259,2.0454966444494,2.0454966444494,0.937732992296809
"BCI","3403","pla1pi","Fabaceae-papilionoideae",0.72125,3.6,53.7,29.4,"","BCI-3403",0.0136367966228032,0.0379690818246723,1.72005289689693,2.47396129321272,0.96853117774009
"BCI","2059","pla2el","Fabaceae-papilionoideae",0.80575,3.5,134.4,33.5,"","BCI-2059",0.0333827362519675,0.0333827362519675,2.90542847615848,2.90542847615848,0.467626714268582
"BCI","3444","poutre","Sapotaceae",0.794,3.700000048,60.6,27.9,"","BCI-3444",-0.00418185603407504,0.0076088415960979,1.93498203821109,3.11857386897059,0.970649730901042
"BCI","5463","poutre","Sapotaceae",0.794,4.599999905,61.8,21.7,"","BCI-5463",0.0195590874180097,0.0192990281851742,0.215020070628434,2.25876370139911,0.966745172107807
"BCI","5906","pri2co","Fabaceae-caesalpinioideae",0.413571,3,72.5,37.8,"","BCI-5906",0.0213284256389036,0.050780529733753,1.50497452179339,2.69015168766135,0.958455198955041
"BCI","6257","pri2co","Fabaceae-caesalpinioideae",0.413571,6,103,33.1,"","BCI-6257",0.0090785352122612,0.0229729550890201,0.645004848158731,1.72001109623992,0.953737252115426
"BCI","141","pri2co","Fabaceae-caesalpinioideae",0.413571,3.299999952,94.3,42.5,"","BCI-141",0.0155666469718159,0.0298560308360498,0.859984532146166,2.68931386685937,0.966506258427375
"BCI","5060","pri2co","Fabaceae-caesalpinioideae",0.413571,3,89.3,33.9,"","BCI-5060",0.0256739631940767,0.0256739631940767,2.25885941234234,2.25885941234234,0.971329511791277
"BCI","5293","pri2co","Fabaceae-caesalpinioideae",0.413571,3.700000048,106.9,32.9,"","BCI-5293",0.0317535711403582,0.0363299842381527,1.93502237538735,3.11852497475013,0.94086064597175
"BCI","2120","quaras","Malvaceae",0.454,4,60,26.7,"","BCI-2120",0.0176860348968887,0.0291190911678776,3.33448805970897,3.55165066409946,0.887991540162894
"BCI","5752","quaras","Malvaceae",0.454,3,38.5,24.2,"","BCI-5752",0.0442736102242567,0.0365282655772083,0.645004243253968,1.50502548842771,0.957783588534808
"BCI","3208","sloate","Elaeocarpaceae",0.624723,3,124.7,32.3,"","BCI-3208",0.0484426589443009,0.0484426589443009,3.33382278563925,3.33382278563925,0.779492243654034
"BCI","66360","tachve","Fabaceae-caesalpinioideae",0.521,4,79.1,31.1,"","BCI-66360",0.0329342777945506,0.0329342777945506,3.3353386153834,3.3353386153834,0.940436126725146
"BCI","3696","termob","Combretaceae",0.694167,6.199999809,68.8,36.1,"","BCI-3696",0.0137503431715371,0.0113466991182402,1.71991867443278,2.14992176520824,0.974854378604619
"BCI","142","tet2pa","Burseraceae",0.717333,4,47.9,22.3,"stem forks at top","BCI-142",-0.0558166968668786,0.0129147430541387,0.64498889689769,1.71998658967262,0.923848752726396
"BCI","3780","tet2pa","Burseraceae",0.717333,4,57,23.7,"stem forks at top","BCI-3780",0.0077233525605524,0.012510260493037,1.93496865637427,2.47150088251591,0.974948069834968
"BKT","2111","GARCPA","Clusiaceae",0.435,1.6,46,19.4,"","BKT-2111",0.0927315202605026,0.0927315202605026,2.90491172863696,2.90491172863696,0.866014393936158
"BKT","1331","DILLGR","Dilleniaceae",0.65,1.9,46,28.6,"","BKT-1331",0.0402971650988264,0.0402971650988264,1.61506998474872,1.61506998474872,0.979346545199625
"BKT","1697","SHORCU","Dipterocarpaceae",0.526667,2.4,129,45.4,"","BKT-1697",0.0264016805250527,0.0264016805250527,2.90676356227682,2.90676356227682,0.91018964227922
"BKT","655","SHORCU","Dipterocarpaceae",0.526667,2,81,48.8,"","BKT-655",0.0305313161159208,0.0305313161159208,2.90480698001715,2.90480698001715,0.969073399830151
"BKT","2024","SHORCU","Dipterocarpaceae",0.526667,2,99,38.4,"","BKT-2024",0.0286715901786058,0.0286715901786058,3.33576648529144,3.33576648529144,0.977405274777437
"BKT","1743","SHORCU","Dipterocarpaceae",0.526667,1.7,84,39.4,"","BKT-1743",0.0228653879848601,0.0228653879848601,2.68896688170543,2.68896688170543,0.967039800206558
"BKT","2302","SHORCU","Dipterocarpaceae",0.526667,3.6,95,38.8,"","BKT-2302",-0.0182400559778249,0.0263844837371649,0.645062994886128,1.61430630369857,0.964703793825016
"BKT","2232","SHORGR","Dipterocarpaceae",0.64,1.8,77,38.4,"","BKT-2232",0.0321507294753089,0.0321507294753089,1.61533502123887,1.61533502123887,0.96838329704124
"BKT","2213","SHORGR","Dipterocarpaceae",0.64,2,86,49.6,"","BKT-2213",0.00710769258427692,0.00710769258427692,2.9060496547802,2.9060496547802,0.978717705522025
"BKT","2331","SHORCU","Dipterocarpaceae",0.526667,1.9,55,27,"","BKT-2331",0.0342044388781751,0.0342044388781751,3.11976841740476,3.11976841740476,0.960855473369122
"BKT","2378","SHORCU","Dipterocarpaceae",0.526667,1.7,80,31.8,"","BKT-2378",0.0227585576476262,0.0278051767202631,3.12102648627396,3.54559189685593,0.987467634878466
"BKT","1744","SHORCU","Dipterocarpaceae",0.526667,1.6,79,37,"","BKT-1744",0.0363522971661003,0.0363522971661003,1.61283625152869,1.61283625152869,0.977617633015876
"BKT","5933","SHOROC","Dipterocarpaceae",0.725,3.8,118,63,"","BKT-5933",0.0152398064434679,0.0156627448175638,2.79492343717241,3.00984412638269,0.958341389919713
"BKT","3922","SHORLE","Dipterocarpaceae",0.44,1.9,73,38,"","BKT-3922",0.00109007966801836,0.00109007966801836,1.61226310185248,1.61226310185248,0.976164324311914
"BKT","4639","SHORLE","Dipterocarpaceae",0.44,3,89,51.8,"","BKT-4639",0.0212184263505025,0.0212184263505025,3.33502402985965,3.33502402985965,0.963569686996453
"BKT","1011","SHORHB","Dipterocarpaceae",0.571129,1.7,87,38.6,"","BKT-1011",0.0340483517508875,0.0374098064815638,3.12075084137131,3.54350198094444,0.940226452676976
